state,st,c_est_total_pop,c_est_total_ pop_male,c_percent_total_pop_male,c_est_total_pop_female,c_percent_total_pop_female,c_est_total_pop_under_5_yrs,c_percent_total_under_5_yrs,c_est_total_pop_18 yrs,c_est_total_pop_18_yrs_male,c_est_total_pop_18_yrs_female,c_est_total_pop_white,c_est_total_pop_Black,c_est_total_pop_Black_2,c_est_total_pop_American Indian and Alaska Native,c_est_total_pop_Asian,c_est_total_pop_Native Hawaiian and Other Pacific Islander,c_est_total_pop_Hispanic or Latino (of any race),c_est_total_pop_Not Hispanic or Latino,p_POPSERVED,p_FTSAUTH,p_FTSWORN, p_OPBUDGET ,p_PERS_PERSTEST,p_PERS_PSYCH,p_PERS_CULTURE,p_PERS_BILING_SWN,p_PERS_NEW_WHT,p_PERS_NEW_BLK,p_PERS_NEW_HSP,p_PERS_NEW_IND,p_PERS_NEW_ASN,p_PERS_NEW_HAW - 13_F_1,p_PERS_NEW_TOT,p_PERS_NEW_MALE,p_PERS_NEW_FEM,p_PERS_MALE,p_PERS_FEMALE,p_OPER_CFS
 Alabama,AL,3685364,1776665,48.56190476,1908699,51.43809524,219446,5.842857143,2861617,1354626,1506991,2179960,955414,955431,15259,59482,1087,171897,3513467,8792896,6227,5989,648300679.9,1.385964912,1.368421053,1.543859649,123,385,176,-10,-18,-13,-16,614,449,129,5287,559,3171024
 Alaska,AK,493166,254154,52.4,239012,47.6,33712,6.833333333,372378,191877,180501,342224,20868,20871,43000,30830,8484,40544,452622,343653,478,780,125825697,-1,-1,-0.6,9,23,-6,-3,-7,-8,-7,38,32,-3,398,56,338321
 Arizona,AZ,7108758,3534006,50.28,3574752,49.72,417800,5.56,5508567,2716696,2791871,5562574,342052,342062,313345,240951,14105,2238276,4870482,13160091,9745,9104,2003168270,0.769230769,1.115384615,1.269230769,862,488,13,171,-11,-10,-15,785,651,103,5367,620,6217676
 Arkansas,AR,1715114,835739,48.68181818,879375,51.31818182,107695,6.118181818,1309197,626792,682405,1196986,225219,225228,11206,36729,8965,163228,1551886,5168334,4040,3213,517077910.2,1.122807018,0.842105263,1.245614035,113,273,123,12,-4,-5,-9,442,345,88,2969,329,2197691
 California,CA,39063663,19405647,49.79268293,19658016,50.20731707,2355250,6.041463415,30261165,14911518,15349647,23109383,2272260,2272301,307398,5857776,154820,15461048,23602615,90461658,64273,57869,15129687396,0.991525424,0.923728814,1.559322034,9475,1566,238,1319,-29,293,4,3831,3053,669,42810,7087,25063094
 Colorado,CO,4956346,2485737,50.06666667,2470609,49.93333333,289633,5.691666667,3856548,1921768,1934780,4089609,231178,231190,44038,179043,6627,1094468,3861878,12182753,8695,8425,1457472062,1.058823529,1.078431373,1.745098039,559,561,35,133,5,10,5,825,629,201,7477,1214,5060500
 Connecticut,CT,3565287,1743777,49.5625,1821510,50.4375,180598,4.6375,2837855,1370524,1467331,2660228,396745,396753,9052,166393,1155,600954,2964333,4889096,4119,3927,554017376,0.615384615,1,1.730769231,298,108,16,20,0,3,0,150,124,26,3568,366,2099652
 Delaware,DE,973764,470288,48.23333333,503476,51.76666667,54261,5.566666667,769818,366941,402877,659719,219418,219421,4353,36592,428,93390,880374,1449501,1460,1433,233073264,1,1,1.285714286,43,36,12,9,0,0,0,57,42,15,1205,228,1252398
 Florida,FL,20824538,10146102,49.00487805,10678436,50.99512195,1097995,4.86097561,16725780,8054734,8671046,15515612,3322025,3322066,56299,595866,16063,5572009,15252529,42250051,37696,31160,7322773270,1.214285714,1.160714286,1.785714286,5489,1721,467,712,-10,24,-15,3024,2325,648,26215,4854,24225219
 Georgia,GA,8144166,3935378,48.34324324,4208788,51.65675676,502830,6.075675676,6198010,2936816,3261194,4204257,2652695,2652728,34097,414015,5640,879161,7265005,17726145,16283,13044,1645952156,0.921348315,1.168539326,1.606741573,329,930,581,83,-16,7,-15,1678,1314,332,11369,1875,8977226
 Hawaii,HI,1415857,707850,49.425,708007,50.575,85335,5.875,1115670,553271,562399,341206,26923,26927,6129,547841,152593,150859,1264998,1428469,3136,2916,406571761,1.25,1,2,287,2,-9,-9,-9,2,-4,25,21,-5,2617,298,1134901
 Idaho,ID,1170881,586754,50.06666667,584127,49.93333333,75730,6.933333333,873845,433666,440179,957245,9301,9306,9674,19287,1003,146802,1024079,2664853,964,896,212731442,1.333333333,1.333333333,0.866666667,27,108,2,5,0,0,0,197,125,69,825,71,1038212
 Illinois,IL,10898789,5329323,48.94347826,5569466,51.05652174,645421,5.856521739,8457502,4088053,4369449,7341869,1722532,1722554,29050,705998,3659,2136618,8762171,19632226,19752,19536,3116142430,1.448275862,1.35862069,1.737931034,3283,566,117,238,-9,12,-8,982,771,202,16086,3263,5717772
 Indiana,IN,4921419,2414348,49.33076923,2507071,50.66923077,306554,5.953846154,3769910,1821846,1948064,3575201,612569,612591,13893,154570,2300,414714,4506705,9459082,4585,4325,556329383,1.317073171,1.353658537,1.646341463,119,220,4,2,-9,-8,-8,246,236,17,4011,228,2659433
 Iowa,IA,1656372,821232,49.77,835140,50.23,104111,6.07,1273200,625006,648194,1419675,103785,103795,7197,62933,1196,114210,1542162,5148537,2946,2503,442091104,1.056603774,1.301886792,1.773584906,60,141,3,7,1,1,1,156,119,36,2264,203,1332920
 Kansas,KS,1805907,893812,50.2375,912095,49.7625,113879,6.0125,1372065,673965,698100,1441578,142541,142549,12638,77431,1644,221001,1584906,5821272,3478,3746,572399079,1.140350877,1.035087719,1.438596491,123,287,29,32,1,0,0,351,287,62,3333,389,1647536
 Kentucky,KY,2206778,1080981,49.38461538,1125797,50.61538462,138674,6.361538462,1708559,826103,882456,1680718,287138,287150,4640,60432,3621,114787,2091991,7020655,4208,4136,575828354.9,1.137254902,1.215686275,1.705882353,191,216,-13,-27,-35,-34,-36,294,266,-2,3724,272,2207644
 Louisiana,LA,3383291,1629846,48.42352941,1753445,51.57647059,217918,6.564705882,2590981,1226926,1364055,1700450,1011498,1011511,17436,68031,508,197683,3185608,8342165,11240,9477,1246099172,0.898305085,1.101694915,1.440677966,416,777,438,4,-25,-19,-27,1366,905,399,7842,1988,2738683
 Maine,ME,952426,463783,48.9,488643,51.1,45583,4.9,775666,374116,401550,889104,20056,20062,6096,12558,151,17495,934931,1512808,517,494,85653398,1.105263158,1.052631579,1.684210526,17,56,0,0,1,0,1,58,53,5,452,37,216118
 Maryland,MD,5766455,2790945,49.025,2975510,50.975,346469,5.725,4487119,2139394,2347725,3072905,1787340,1787356,18201,384092,2453,629595,5136860,11923467,11783,11445,2118852325,1.035714286,1,1.75,722,290,123,34,2,18,0,468,379,89,9890,1579,5540353
 Massachusetts,MA,6863772,3331617,48.325,3532155,51.675,353891,4.741666667,5517347,2643153,2874194,5281610,539981,539993,17758,472888,2998,852509,6011263,10689573,9870,8790,1400975266,1.212121212,1.015151515,1.833333333,486,205,-4,-6,-27,-18,-27,267,223,13,7531,764,3170783
 Michigan,MI,8526110,4172066,49.31034483,4354044,50.68965517,493511,5.517241379,6673176,3227165,3446011,6382992,1345377,1345405,34417,318599,1557,478201,8047909,15949375,8554,8116,1742290290,1.170454545,1.261363636,1.75,182,398,98,15,-7,-2,-9,579,488,60,6873,1180,3487983
 Minnesota,MN,4072381,2019846,49.86,2052535,50.14,258398,6.32,3128348,1537785,1590563,3196371,347691,347706,22853,266548,1569,237713,3834668,9132605,3871,3793,715572951.9,1.114754098,0.836065574,1.721311475,171,147,16,10,2,25,0,245,211,34,3335,539,2821427
 Mississippi,MS,1332581,636232,47.75,696349,52.25,82643,6.2,1013707,475974,537733,637630,414243,414250,2847,18795,0,51600,1280981,3764237,2221,1507,229229503.5,1.193548387,1.35483871,1.451612903,36,106,149,1,1,1,0,259,180,79,1437,101,608206
 Missouri,MO,4182675,2033524,49.38235294,2149151,50.61764706,249808,5.976470588,3252357,1557607,1694750,2975235,634231,634245,11942,110520,7731,198800,3983875,9431223,7877,7524,1115674621,1.340425532,1.468085106,1.70212766,169,821,65,-5,-26,-17,-25,965,768,174,6483,780,5341581
 Montana,MT,649938,326344,50.21666667,323594,49.78333333,35523,5.55,513691,256471,257220,592981,5525,5531,17290,6495,9,26627,623311,1498974,620,610,103725242,1.176470588,1.235294118,1.823529412,-2,36,-9,-7,-8,-8,-8,41,34,-2,548,42,1005772
 Nebraska,NE,1077613,535405,49.83333333,542208,50.16666667,74565,6.833333333,808665,397773,410892,887208,84108,84111,9049,41903,1399,116371,961242,3836968,2196,2152,337128151,1.2,1.333333333,1.433333333,43,159,12,15,0,1,0,188,137,51,1860,290,572419
 Nevada,NV,2738234,1368418,50.15,1369816,49.85,165516,5.85,2116908,1050807,1066101,1698769,290709,290711,31056,253631,21623,835162,1903072,5935423,4928,4629,1019748823,1.076923077,1,1.923076923,282,329,51,106,4,32,5,537,453,84,4838,615,3670120
 New Hampshire,NH,1174789,580677,49.26666667,594112,50.73333333,56636,4.65,950068,466316,483752,1008679,20627,20632,1532,33537,492,51351,1123438,2185139,1052,1037,90661919,1.064516129,1.129032258,1.870967742,14,57,-6,-6,-9,-8,-8,65,58,-2,620,49,566175
 New Jersey,NJ,8882190,4342591,48.99047619,4539599,51.00952381,511925,5.452380952,6944166,3351015,3593151,5964295,1203843,1203864,18440,856561,3254,1856845,7025345,15167847,12505,12559,1570871552,1.104761905,0.923809524,1.685714286,2297,521,107,284,-17,10,-16,986,838,129,10774,1128,5464879
 New Mexico,NM,1669610,821967,49.65,847643,50.35,95021,6.02,1289306,627323,661983,1219046,41466,41476,174336,31458,762,815472,854138,3904794,2897,2598,471842231,1.066666667,1.133333333,1.533333333,268,128,1,121,-4,-3,-9,298,211,87,2007,207,1270470
 New York,NY,18466230,8953064,49.44102564,9513166,50.55897436,1073081,5.366666667,14631726,6987712,7644014,11379033,3055911,3055950,70676,1671314,8095,3711842,14754388,37470764,53347,52430,9187608726,0.844444444,0.922222222,1.488888889,2881,2426,478,963,-15,312,-18,4276,3448,791,44986,7965,14953673
 North Carolina,NC,8573483,4155016,48.57073171,4418467,51.42926829,501977,5.563414634,6663667,3180230,3483437,5658202,1810676,1810715,91117,294214,5475,880861,7692622,17381631,12817,12230,1459941610,1.159574468,1.074468085,1.627659574,624,805,159,56,11,14,1,1099,844,185,10746,1438,6469622
 North Dakota,ND,414641,210890,51,203751,49,26316,6.275,322457,163677,158780,359989,17134,17138,9128,8455,1959,15316,399325,1007667,511,504,71598400,1,1.230769231,1.846153846,-2,16,-17,-18,-18,-18,-18,17,7,-8,459,45,199023
 Ohio,OH,9833377,4809534,49.52820513,5023843,50.47179487,577989,5.594871795,7678745,3703053,3975692,7103968,1418667,1418699,19565,261195,4508,417932,9415445,20677539,11201,11782,1881224995,1.31496063,1.322834646,1.614173228,204,507,37,11,-5,-6,-7,613,501,103,10071,1289,5418725
 Oklahoma,OK,2469698,1218710,49.65454545,1250988,50.34545455,162446,6.072727273,1869893,909541,960352,1771808,241300,241311,142334,80467,2052,312303,2157395,6247007,4463,3960,585028284,1.098360656,1.295081967,1.721311475,83,216,-12,-4,2,-24,-27,293,252,11,3557,288,2814327
 Oregon,OR,3741797,1850054,49.46666667,1891743,50.53333333,198911,5.266666667,2972102,1456058,1516044,3097337,75011,75026,39480,189470,13214,508372,3233425,7069861,3564,3288,889778085,1.114285714,1.114285714,1.685714286,124,289,4,11,3,9,1,327,203,52,2965,427,1579067
 Pennsylvania,PA,11847115,5789105,49.4025,6058010,50.5975,648201,5.1675,9399959,4537179,4862780,9029858,1426822,1426859,24426,447568,3747,973278,10873837,17912143,14814,14009,2285806339,1.173611111,1.041666667,1.666666667,730,579,26,-19,-52,-43,-44,739,631,38,11884,1741,4012100
 Rhode Island,RI,1010882,493311,48.675,517571,51.325,53094,4.725,816438,393524,422914,788678,77832,77836,3329,36186,250,171068,839814,1568094,1447,1305,242451656,0.357142857,1.071428571,0.857142857,139,34,2,2,0,0,0,38,34,5,1165,81,3701410
 South Carolina,SC,4467674,2155669,48.13636364,2312005,51.86363636,253632,5.668181818,3495538,1664954,1830584,2829790,942122,942139,13456,82345,6879,275424,4192250,9259763,7017,6420,619801199.8,1.229166667,1.3125,1.5625,146,574,147,5,-17,-15,-18,769,589,159,4833,797,3445283
 South Dakota,SD,306909,156815,51.05,150094,48.95,20607,6.55,232162,116624,115538,262189,14128,14130,12954,4928,145,16061,290848,1220600,702,685,87295989,1.653846154,1.730769231,1.769230769,7,37,-17,-18,-16,-17,-18,73,65,8,630,23,424196
 Tennessee,TN,4704704,2277935,48.675,2426769,51.325,291008,5.865,3643284,1734973,1908311,3214352,992244,992262,13027,114022,2839,308171,4396533,12210850,7810,9283,1367162545,0.93220339,0.847457627,1.474576271,386,736,116,23,-6,-1,-9,906,721,155,8411,1106,4298789
 Texas,TX,25467278,12593323,49.6037037,12873955,50.3962963,1768663,6.675925926,18903968,9253817,9650151,17927945,3269538,3269587,125612,1419342,24811,10300660,15166618,60263722,42223,37202,6619727191,1.015384615,0.887179487,1.58974359,6838,934,127,561,-49,-15,-45,2210,1781,299,32251,5253,21861829
 Utah,UT,2790470,1400559,50.14285714,1389911,49.85714286,217373,7.785714286,1980085,986378,993707,2352335,36228,36234,19384,72438,28695,423267,2367203,6597658,2895,2688,478333225,0.925925926,1.037037037,1.259259259,429,280,1,27,1,1,5,320,290,30,2535,226,1558711
 Vermont,VT,163774,80663,49.3,83111,50.7,7556,4.6,135235,65473,69762,147125,5183,5184,446,4458,239,4028,159746,776220,442,429,71799264,0.230769231,1.538461538,1.692307692,9,38,0,2,0,0,0,40,39,1,386,44,137099
 Virginia,VA,6201589,3050153,48.99333333,3151436,51.00666667,382032,5.876666667,4802776,2331803,2470973,3763838,1255037,1255065,17066,531859,4012,701946,5499643,14506828,13189,12637,1658096693,1.263157895,1.157894737,1.350877193,985,830,162,66,-6,19,-7,1121,913,198,11013,1548,5228457
 Washington,WA,7132364,3565529,50.095,3566835,49.905,431399,6.065,5563510,2765827,2797683,5250422,302092,302112,92003,675590,49044,922336,6210028,12099890,7255,5571,1427474209,1.12195122,1,1.756097561,142,275,-10,3,-26,-12,-26,355,312,16,4366,517,3207608
 West Virginia,WV,718987,353641,49.27142857,365346,50.72857143,38599,5.342857143,573935,279766,294169,582226,31102,31108,2681,9312,226,14270,704717,2094085,1287,1266,161541842,1.375,1.458333333,0.875,53,76,2,1,0,0,0,79,74,4,1228,36,375664
 Wisconsin,WI,4442446,2192649,49.60434783,2249797,50.39565217,255777,5.473913043,3464342,1694885,1769457,3667223,359863,359886,25772,156265,3656,370496,4071950,10670278,6372,6084,1055658063,1.314606742,1.258426966,1.719101124,406,399,41,23,3,12,2,485,407,78,5039,945,3018920
 Wyoming,WY,179358,91044,50.7,88314,49.3,9876,5.5,137019,68406,68613,162829,2869,2871,2712,1789,226,21811,157547,881623,685,578,106879473,1.071428571,1,1.571428571,28,51,-8,-7,-6,-9,-9,67,59,8,534,44,397244
